0;0
0,05;0
0,06;0,5
0,07;0
0,12;0
0,125;0,5
0,15;0,5
0,155;0
0,19;0
0,2;0,5
0,21;0
0,275;0
0,285;0,5
0,295;0
0,31;0,5
0,32;0,5
0,325;1,05
0,34;1,05
0,355;0,5
0,37;0,5
0,38;1,05
0,4;1,05
0,41;0,5
0,413;-0,75
0,42;-2,75
0,425;-4,75
0,43;-6,75
0,437;-8,75
0,45;-9,05
0,46;-9,05
0,465;-8,75
0,48;-6,75
0,487;-5,25
0,5;-4,75
0,52;-4,75
0,545;-6,95
0,56;-6,95
0,57;-7,5
0,59;-7,5
0,6;-6,15
0,62;-5,25
0,65;-5,25
0,67;-6,15
0,71;-6,15
0,715;-5,75
0,725;-5,75
0,73;-5,25
0,755;-5,25
0,77;-5,75
0,78;-5,75
0,8;-6,85
0,81;-6,35
0,82;-6,35
0,825;-6,85
0,83;-6,35
0,92;-6,35
0,93;-6,85
0,987;-6,85
1;-7,35
1,037;-7,35
1,055;-8,6
1,065;-7,85
1,075;-7,85
1,082;-7,35
1,1;-7,85
1,11;-7,35
1,13;-7,35
1,14;-7,85
1,15;-7,85
1,16;-8,6
1,175;-8,6
